Detector, Descriptor, Image id, No keypoints, No keypoints on preceding vehicle, No matched keypoints, Keypoint detection time (ms), Descriptor extraction time (ms), Matching time (ms)
SHITOMASI,BRISK,0,1370,127,0,33.2982,4.0377,0
SHITOMASI,BRISK,1,1301,120,97,26.3601,4.2998,0.4129
SHITOMASI,BRISK,2,1361,123,88,32.87,4.8563,0.2926
SHITOMASI,BRISK,3,1358,120,80,40.9712,6.5383,0.28
SHITOMASI,BRISK,4,1333,120,90,34.9869,4.5772,0.2084
SHITOMASI,BRISK,5,1284,115,82,32.3647,4.4275,0.2725
SHITOMASI,BRISK,6,1322,114,79,37.5899,4.5041,0.2382
SHITOMASI,BRISK,7,1366,125,86,34.5626,4.6415,0.3185
SHITOMASI,BRISK,8,1389,112,86,29.2282,4.0667,0.3134
SHITOMASI,BRISK,9,1339,113,83,32.7232,4.6492,0.2042
SHITOMASI,BRIEF,0,1370,127,0,42.256,3.8621,0
SHITOMASI,BRIEF,1,1301,120,118,37.0972,4.8661,0.2836
SHITOMASI,BRIEF,2,1361,123,111,48.5044,5.6359,0.2798
SHITOMASI,BRIEF,3,1358,120,104,40.6857,4.5178,0.2779
SHITOMASI,BRIEF,4,1333,120,101,48.7252,6.7606,0.5338
SHITOMASI,BRIEF,5,1284,115,104,60.9447,4.7316,0.2609
SHITOMASI,BRIEF,6,1322,114,102,51.1068,4.9317,0.2493
SHITOMASI,BRIEF,7,1366,125,101,40.452,6.6218,0.321
SHITOMASI,BRIEF,8,1389,112,110,43.997,5.1161,0.3016
SHITOMASI,BRIEF,9,1339,113,102,40.2919,4.019,0.2084
SHITOMASI,ORB,0,1370,127,0,36.6225,11.0817,0
SHITOMASI,ORB,1,1301,120,106,46.7301,6.8111,0.3397
SHITOMASI,ORB,2,1361,123,103,48.6859,6.6272,0.2569
SHITOMASI,ORB,3,1358,120,100,44.3582,7.331,0.2555
SHITOMASI,ORB,4,1333,120,102,41.9682,6.9188,0.263
SHITOMASI,ORB,5,1284,115,104,45.9359,6.4888,0.2367
SHITOMASI,ORB,6,1322,114,98,48.8314,10.8416,0.3059
SHITOMASI,ORB,7,1366,125,99,44.4338,10.9746,0.2903
SHITOMASI,ORB,8,1389,112,103,50.7891,9.6762,0.321
SHITOMASI,ORB,9,1339,113,99,54.255,7.0497,0.2583
SHITOMASI,FREAK,0,1370,127,0,45.5703,90.3661,0
SHITOMASI,FREAK,1,1301,120,91,45.8493,62.5842,0.2759
SHITOMASI,FREAK,2,1361,123,88,17.7965,58.5618,0.3162
SHITOMASI,FREAK,3,1358,120,87,21.2708,58.4692,0.26
SHITOMASI,FREAK,4,1333,120,89,18.2771,56.9593,0.5387
SHITOMASI,FREAK,5,1284,115,84,16.2307,69.2448,0.2399
SHITOMASI,FREAK,6,1322,114,78,20.4145,60.6975,0.2302
SHITOMASI,FREAK,7,1366,125,81,17.0165,77.271,0.2666
SHITOMASI,FREAK,8,1389,112,85,19.4673,62.3808,0.2846
SHITOMASI,FREAK,9,1339,113,85,16.4657,55.6163,0.2588
SHITOMASI,SIFT,0,1370,127,0,20.0948,20.5941,0
SHITOMASI,SIFT,1,1301,120,115,18.0817,19.9022,0.3389
SHITOMASI,SIFT,2,1361,123,109,18.8195,20.3942,0.2306
SHITOMASI,SIFT,3,1358,120,104,19.0474,26.0767,0.2225
SHITOMASI,SIFT,4,1333,120,103,18.0151,19.2393,0.2048
SHITOMASI,SIFT,5,1284,115,101,20.4581,19.0488,0.2189
SHITOMASI,SIFT,6,1322,114,101,17.3949,27.9107,0.1987
SHITOMASI,SIFT,7,1366,125,97,17.671,18.8485,0.2138
SHITOMASI,SIFT,8,1389,112,107,16.7111,19.7499,0.2389
SHITOMASI,SIFT,9,1339,113,99,17.4786,26.6864,0.2475
HARRIS,BRISK,0,115,17,0,18.8794,0.5233,0
HARRIS,BRISK,1,98,14,12,20.7085,0.4957,0.0972
HARRIS,BRISK,2,113,18,10,21.793,0.6463,0.1068
HARRIS,BRISK,3,121,21,14,20.8345,0.7583,0.1242
HARRIS,BRISK,4,160,26,15,26.3723,0.9922,0.1539
HARRIS,BRISK,5,383,43,16,56.3171,1.0393,0.1941
HARRIS,BRISK,6,85,18,16,20.9273,0.5882,0.1204
HARRIS,BRISK,7,210,31,15,21.579,0.6643,0.1275
HARRIS,BRISK,8,171,26,23,18.6185,0.5474,0.0975
HARRIS,BRISK,9,281,34,21,21.1574,0.6169,0.0863
HARRIS,BRIEF,0,115,17,0,16.1237,0.2828,0
HARRIS,BRIEF,1,98,14,14,20.5773,0.8405,0.0813
HARRIS,BRIEF,2,113,18,11,16.0767,0.3808,0.1559
HARRIS,BRIEF,3,121,21,15,14.8312,0.4218,0.0953
HARRIS,BRIEF,4,160,26,20,16.8826,0.4708,0.0951
HARRIS,BRIEF,5,383,43,24,30.6829,0.6242,0.1031
HARRIS,BRIEF,6,85,18,26,16.7284,0.3105,0.0972
HARRIS,BRIEF,7,210,31,16,17.8216,0.3659,0.0911
HARRIS,BRIEF,8,171,26,24,18.2671,0.461,0.0992
HARRIS,BRIEF,9,281,34,23,27.2869,0.5173,0.1095
HARRIS,ORB,0,115,17,0,22.903,4.8081,0
HARRIS,ORB,1,98,14,12,16.0695,5.0022,0.1008
HARRIS,ORB,2,113,18,13,17.9767,4.8957,0.0925
HARRIS,ORB,3,121,21,16,18.2371,4.8094,0.0962
HARRIS,ORB,4,160,26,18,16.9663,4.8906,0.1009
HARRIS,ORB,5,383,43,24,35.5002,5.4343,0.1347
HARRIS,ORB,6,85,18,18,22.2545,10.8951,0.1536
HARRIS,ORB,7,210,31,15,25.0025,5.1408,0.1164
HARRIS,ORB,8,171,26,24,22.8972,6.2065,0.1254
HARRIS,ORB,9,281,34,20,36.9157,9.4227,0.134
HARRIS,FREAK,0,115,17,0,20.8537,71.8876,0
HARRIS,FREAK,1,98,14,13,19.1327,63.8834,0.1109
HARRIS,FREAK,2,113,18,13,21.3703,66.8067,0.1258
HARRIS,FREAK,3,121,21,15,27.9101,79.5608,0.1082
HARRIS,FREAK,4,160,26,15,20.1495,68.2274,0.1294
HARRIS,FREAK,5,383,43,17,48.0547,70.3903,0.1115
HARRIS,FREAK,6,85,18,20,17.9805,61.8824,0.1372
HARRIS,FREAK,7,210,31,14,23.4625,57.1318,0.1053
HARRIS,FREAK,8,171,26,21,26.3354,66.8079,0.1149
HARRIS,FREAK,9,281,34,18,32.9647,64.1058,0.1125
HARRIS,SIFT,0,115,17,0,19.802,25.6398,0
HARRIS,SIFT,1,98,14,14,25.0593,24.7394,0.1132
HARRIS,SIFT,2,113,18,11,19.1614,21.9716,0.054
HARRIS,SIFT,3,121,21,16,21.2947,21.7145,0.067
HARRIS,SIFT,4,160,26,19,25.069,21.9394,0.0572
HARRIS,SIFT,5,383,43,22,55.724,22.9065,0.0671
HARRIS,SIFT,6,85,18,22,19.227,39.0198,0.2867
HARRIS,SIFT,7,210,31,13,33.9668,33.6361,0.0637
HARRIS,SIFT,8,171,26,24,30.3193,26.7635,0.0754
HARRIS,SIFT,9,281,34,22,36.1809,34.2622,0.0837
FAST,BRISK,0,1824,149,0,2.7547,2.2352,0
FAST,BRISK,1,1832,152,97,1.8401,2.0678,0.3212
FAST,BRISK,2,1810,152,103,1.6613,2.0679,0.2676
FAST,BRISK,3,1817,157,104,1.6015,2.0778,0.279
FAST,BRISK,4,1793,149,98,1.6335,1.9502,0.2758
FAST,BRISK,5,1796,150,86,1.5327,3.0986,0.27
FAST,BRISK,6,1788,157,108,1.5603,2.2184,0.2435
FAST,BRISK,7,1695,152,108,1.4423,1.9763,0.3376
FAST,BRISK,8,1749,139,100,1.4621,1.7752,0.2622
FAST,BRISK,9,1770,144,100,1.4032,2.2863,0.2684
FAST,BRIEF,0,1824,149,0,1.7432,0.8565,0
FAST,BRIEF,1,1832,152,119,1.7821,1.05,0.5901
FAST,BRIEF,2,1810,152,129,1.8879,1.276,0.3078
FAST,BRIEF,3,1817,157,122,1.7757,1.0179,0.3134
FAST,BRIEF,4,1793,149,126,2.4953,0.9087,0.3773
FAST,BRIEF,5,1796,150,109,1.7391,1.3574,0.2889
FAST,BRIEF,6,1788,157,124,1.9265,0.9114,0.4322
FAST,BRIEF,7,1695,152,132,1.805,0.9464,0.2964
FAST,BRIEF,8,1749,139,125,1.8519,0.847,0.2847
FAST,BRIEF,9,1770,144,120,2.2312,1.1137,0.2651
FAST,ORB,0,1824,149,0,1.9892,5.1932,0
FAST,ORB,1,1832,152,122,1.8614,5.1772,0.2969
FAST,ORB,2,1810,152,123,1.8587,5.0772,0.3131
FAST,ORB,3,1817,157,119,1.8697,6.0033,0.3057
FAST,ORB,4,1793,149,129,1.8913,5.1322,0.3359
